famille,indicateur,indicateur_clean,operateur,unit,annee,value
Internet,Nombre de clients 3G Atlantique Telecom,Clients 3G,Moov Africa,Nombre,2019,633580.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2013,0.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2014,0.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2015,0.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2016,0.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2017,0.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2018,123642.0
Internet,Nombre de clients 4G Togo Cellulaire,Clients 4G,Togocom,Nombre,2019,174474.0
Internet,Nombre de clients 4G Atlantique Telecom,Clients 4G,Moov Africa,Nombre,2013,0.0
Internet,Nombre de clients 4G Atlantique Telecom,Clients 4G,Moov Africa,Nombre,2014,0.0
Internet,Nombre de clients 4G Atlantique Telecom,Clients 4G,Moov Africa,Nombre,2015,0.0
Internet,Nombre de clients 4G Atlantique Telecom,Clients 4G,Moov Africa,Nombre,2016,0.0
Internet,Nombre de clients 4G Atlantique Telecom,Clients 4G,Moov Africa,Nombre,2017,0.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2013,169613.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2014,242058.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2015,454965.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2016,1158267.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2017,1622832.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2018,2085898.0
Internet,T Togo Cellulaire,Abonnés Internet mobile,Togocom,Nombre,2019,1417858.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2013,109824.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2014,284926.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2015,381711.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2016,363123.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2017,982417.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2018,1574157.0
Internet,T Atlantique Telecom,Abonnés Internet mobile,Moov Africa,Nombre,2019,1962052.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2013,65991.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2014,79621.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2015,63108.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2016,44613.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2017,45757.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2018,19340.0
Internet,T Abonnés Internet Togo Telecom,Abonnés Internet fixe (Togo Telecom),Togocom,Nombre,2019,23466.0
Internet,LS point à point,LS point à point,,Nombre,2013,448.0
Internet,LS Internet,LS Internet,,Nombre,2013,93.0
Internet,LS Internet,LS Internet,,Nombre,2014,104.0
Internet,LS Internet,LS Internet,,Nombre,2015,100.0
Internet,LS Internet,LS Internet,,Nombre,2016,116.0
Internet,LS Internet,LS Internet,,Nombre,2017,133.0
Internet,LS Internet,LS Internet,,Nombre,2018,148.0
Internet,LS Internet,LS Internet,,Nombre,2019,183.0
Internet,Illiconet,Illiconet,,Nombre,2013,36449.0
Internet,Illiconet,Illiconet,,Nombre,2014,36937.0
Internet,Wimax,Wimax,,Nombre,2013,414.0
Internet,Wimax,Wimax,,Nombre,2014,494.0
Internet,Wimax,Wimax,,Nombre,2015,409.0
Internet,Wimax,Wimax,,Nombre,2016,462.0
Internet,Wimax,Wimax,,Nombre,2017,1068.0
Internet,Wimax,Wimax,,Nombre,2018,2167.0
Internet,Wimax,Wimax,,Nombre,2019,1806.0
Internet,ADSL,ADSL,,Nombre,2013,6822.0
Internet,ADSL,ADSL,,Nombre,2014,9626.0
Internet,ADSL,ADSL,,Nombre,2015,10185.0
Internet,ADSL,ADSL,,Nombre,2016,8299.0
Internet,ADSL,ADSL,,Nombre,2017,10536.0
Internet,ADSL,ADSL,,Nombre,2018,14957.0
Internet,ADSL,ADSL,,Nombre,2019,14589.0
Internet,EvDo,EvDo,,Nombre,2013,21765.0
Internet,EvDo,EvDo,,Nombre,2014,32460.0
Internet,EvDo,EvDo,,Nombre,2015,52414.0
Internet,EvDo,EvDo,,Nombre,2016,35736.0
Internet,EvDo,EvDo,,Nombre,2017,33928.0
Internet,FTTH,FTTH,,Nombre,2013,0.0
Internet,FTTH,FTTH,,Nombre,2014,0.0
Internet,FTTH,FTTH,,Nombre,2015,0.0
Internet,FTTH,FTTH,,Nombre,2016,0.0
Internet,FTTH,FTTH,,Nombre,2017,92.0
Internet,FTTH,FTTH,,Nombre,2018,2068.0
Internet,FTTH,FTTH,,Nombre,2019,6888.0
Internet,Abonnés CAFE,Abonnés CAFE,,Nombre,2013,2764.0
Internet,Abonnés CAFE,Abonnés CAFE,,Nombre,2014,2490.0
Internet,Abonnés CAFE,Abonnés CAFE,,Nombre,2015,2964.0
Internet,Abonnés CAFE,Abonnés CAFE,,Nombre,2016,4150.0
Internet,Abonnés CAFE,Abonnés CAFE,,Nombre,2017,4793.0
Internet,Abonnés CAFE,Abonnés CAFE,,Nombre,2018,5619.0
Internet,Abonnés CAFE,Abonnés CAFE,,Nombre,2019,2334.0
Internet,TEOLIS,TEOLIS,,Nombre,2013,0.0
Internet,TEOLIS,TEOLIS,,Nombre,2014,0.0
Internet,TEOLIS,TEOLIS,,Nombre,2015,0.0
Internet,TEOLIS,TEOLIS,,Nombre,2016,0.0
Internet,TEOLIS,TEOLIS,,Nombre,2017,0.0
Internet,TEOLIS,TEOLIS,,Nombre,2018,17.0
Internet,TEOLIS,TEOLIS,,Nombre,2019,154.0
Internet,GVA,GVA,,Nombre,2013,0.0
Internet,GVA,GVA,,Nombre,2014,0.0
Internet,GVA,GVA,,Nombre,2015,0.0
Internet,GVA,GVA,,Nombre,2016,0.0
Internet,GVA,GVA,,Nombre,2017,0.0
Internet,GVA,GVA,,Nombre,2018,1180.0
Internet,GVA,GVA,,Nombre,2019,5945.0
Internet,Taux de pénétration Internet (Toutes technologies) (%),Taux de pénétration Internet (Toutes technologies) (%),,Nombre,2013,5.24
Internet,Taux de pénétration Internet (Toutes technologies) (%),Taux de pénétration Internet (Toutes technologies) (%),,Nombre,2014,8.95
Internet,Taux de pénétration Internet (Toutes technologies) (%),Taux de pénétration Internet (Toutes technologies) (%),,Nombre,2015,12.94
Internet,Taux de pénétration Internet (Toutes technologies) (%),Taux de pénétration Internet (Toutes technologies) (%),,Nombre,2016,21.98
Internet,Taux de pénétration Internet (Toutes technologies) (%),Taux de pénétration Internet (Toutes technologies) (%),,Nombre,2017,36.31
Internet,Taux de pénétration Internet (Toutes technologies) (%),Taux de pénétration Internet (Toutes technologies) (%),,Nombre,2018,49.55
Internet,Taux de pénétration Internet (Toutes technologies) (%),Taux de pénétration Internet (Toutes technologies) (%),,Nombre,2019,44.79
Internet,Taux de pénétration Internet haut débit (%),Taux de pénétration Internet haut débit (%),,Nombre,2013,2.43
Internet,Taux de pénétration Internet haut débit (%),Taux de pénétration Internet haut débit (%),,Nombre,2014,3.75
Internet,Taux de pénétration Internet haut débit (%),Taux de pénétration Internet haut débit (%),,Nombre,2015,7.14
Internet,Taux de pénétration Internet haut débit (%),Taux de pénétration Internet haut débit (%),,Nombre,2016,20.81
Internet,Taux de pénétration Internet haut débit (%),Taux de pénétration Internet haut débit (%),,Nombre,2017,28.25
Internet,Taux de pénétration Internet haut débit (%),Taux de pénétration Internet haut débit (%),,Nombre,2018,34.26
Internet,Taux de pénétration Internet haut débit (%),Taux de pénétration Internet haut débit (%),,Nombre,2019,27.34
Téléphonie,Le nombre total d'abonnés fixe et mobile,Abonnés téléphonie (fixe + mobile),,Nombre,2013,3778401.0
Téléphonie,Le nombre total d'abonnés fixe et mobile,Abonnés téléphonie (fixe + mobile),,Nombre,2014,4272018.0
Téléphonie,Le nombre total d'abonnés fixe et mobile,Abonnés téléphonie (fixe + mobile),,Nombre,2015,4710010.0
Téléphonie,Le nombre total d'abonnés fixe et mobile,Abonnés téléphonie (fixe + mobile),,Nombre,2016,5385024.0
Téléphonie,Le nombre total d'abonnés fixe et mobile,Abonnés téléphonie (fixe + mobile),,Nombre,2017,6106016.0
Téléphonie,Le nombre total d'abonnés fixe et mobile,Abonnés téléphonie (fixe + mobile),,Nombre,2018,6182198.0
Téléphonie,Le nombre total d'abonnés fixe et mobile,Abonnés téléphonie (fixe + mobile),,Nombre,2019,6282788.0
Téléphonie,Le nombre total d'abonnées mobiles GSM,Abonnés mobile GSM,,Nombre,2013,3713908.0
Téléphonie,Le nombre total d'abonnées mobiles GSM,Abonnés mobile GSM,,Nombre,2014,4218707.0
Téléphonie,Le nombre total d'abonnées mobiles GSM,Abonnés mobile GSM,,Nombre,2015,4657321.0
Téléphonie,Le nombre total d'abonnées mobiles GSM,Abonnés mobile GSM,,Nombre,2016,5351215.0
Téléphonie,Le nombre total d'abonnées mobiles GSM,Abonnés mobile GSM,,Nombre,2017,6069905.0
Téléphonie,Le nombre total d'abonnées mobiles GSM,Abonnés mobile GSM,,Nombre,2018,6144507.0
Téléphonie,Le nombre total d'abonnées mobiles GSM,Abonnés mobile GSM,,Nombre,2019,6239183.0
Téléphonie,Le nombre total d'abonnés fixe,Abonnés téléphonie fixe,,Nombre,2013,64493.0
Téléphonie,Le nombre total d'abonnés fixe,Abonnés téléphonie fixe,,Nombre,2014,53311.0
Téléphonie,Le nombre total d'abonnés fixe,Abonnés téléphonie fixe,,Nombre,2015,52689.0
Téléphonie,Le nombre total d'abonnés fixe,Abonnés téléphonie fixe,,Nombre,2016,33809.0
Téléphonie,Le nombre total d'abonnés fixe,Abonnés téléphonie fixe,,Nombre,2017,36111.0
Téléphonie,Le nombre total d'abonnés fixe,Abonnés téléphonie fixe,,Nombre,2018,37691.0
Téléphonie,Le nombre total d'abonnés fixe,Abonnés téléphonie fixe,,Nombre,2019,43605.0
Téléphonie,Télédensité fixe,Télédensité fixe,,%,2013,0.97
Téléphonie,Télédensité fixe,Télédensité fixe,,%,2014,0.78
Téléphonie,Télédensité fixe,Télédensité fixe,,%,2015,0.76
Téléphonie,Télédensité fixe,Télédensité fixe,,%,2016,0.47
Téléphonie,Télédensité fixe,Télédensité fixe,,%,2017,0.49
Téléphonie,Télédensité fixe,Télédensité fixe,,%,2018,0.51
Téléphonie,Télédensité fixe,Télédensité fixe,,%,2019,0.57
Téléphonie,Télédensité mobile GSM,Télédensité mobile GSM,,%,2013,55.87
Téléphonie,Télédensité mobile GSM,Télédensité mobile GSM,,%,2014,61.96
Téléphonie,Télédensité mobile GSM,Télédensité mobile GSM,,%,2015,66.78
Téléphonie,Télédensité mobile GSM,Télédensité mobile GSM,,%,2016,74.92
Téléphonie,Télédensité mobile GSM,Télédensité mobile GSM,,%,2017,82.98
Téléphonie,Télédensité mobile GSM,Télédensité mobile GSM,,%,2018,82.59
Téléphonie,Télédensité mobile GSM,Télédensité mobile GSM,,%,2019,81.91
Téléphonie,Chiffres d'Affaires,Chiffre d'affaires du secteur (FCFA),,Francs CFA,2013,178673000000.0
Téléphonie,Chiffres d'Affaires,Chiffre d'affaires du secteur (FCFA),,Francs CFA,2014,188077000000.0
Téléphonie,Chiffres d'Affaires,Chiffre d'affaires du secteur (FCFA),,Francs CFA,2015,199604000000.0
Téléphonie,Chiffres d'Affaires,Chiffre d'affaires du secteur (FCFA),,Francs CFA,2016,187552000000.0
Téléphonie,Chiffres d'Affaires,Chiffre d'affaires du secteur (FCFA),,Francs CFA,2017,178483000000.0
Téléphonie,Chiffres d'Affaires,Chiffre d'affaires du secteur (FCFA),,Francs CFA,2018,177177000000.0
Téléphonie,Chiffres d'Affaires,Chiffre d'affaires du secteur (FCFA),,Francs CFA,2019,184914000000.0
Téléphonie,Investissement,Investissements du secteur (FCFA),,Francs CFA,2013,42174000000.0
Téléphonie,Investissement,Investissements du secteur (FCFA),,Francs CFA,2014,19057000000.0
Téléphonie,Investissement,Investissements du secteur (FCFA),,Francs CFA,2015,31467000000.0
Téléphonie,Investissement,Investissements du secteur (FCFA),,Francs CFA,2016,40889000000.0
Téléphonie,Investissement,Investissements du secteur (FCFA),,Francs CFA,2017,44958000000.0
Téléphonie,Investissement,Investissements du secteur (FCFA),,Francs CFA,2018,68541000000.0
Téléphonie,Investissement,Investissements du secteur (FCFA),,Francs CFA,2019,47203000000.0
Téléphonie,ARPU segment mobile GSM,"ARPU mobile (indice, unité source incohérente)",,Francs CFA,2013,32670000000000.0
Téléphonie,ARPU segment mobile GSM,"ARPU mobile (indice, unité source incohérente)",,Francs CFA,2014,33234000000000.0
Téléphonie,ARPU segment mobile GSM,"ARPU mobile (indice, unité source incohérente)",,Francs CFA,2015,32358000000000.0
Téléphonie,ARPU segment mobile GSM,"ARPU mobile (indice, unité source incohérente)",,Francs CFA,2016,28019000000000.0
Téléphonie,ARPU segment mobile GSM,"ARPU mobile (indice, unité source incohérente)",,Francs CFA,2017,24315000000000.0
Téléphonie,ARPU segment mobile GSM,"ARPU mobile (indice, unité source incohérente)",,Francs CFA,2018,24448000000000.0
Téléphonie,ARPU segment mobile GSM,"ARPU mobile (indice, unité source incohérente)",,Francs CFA,2019,25563000000000.0
Téléphonie,Part de marché Togo Cellulaire (en abonnées) en %,Part de marché mobile (%),Togocom,%,2013,54.57
Téléphonie,Part de marché Togo Cellulaire (en abonnées) en %,Part de marché mobile (%),Togocom,%,2014,54.48
Téléphonie,Part de marché Togo Cellulaire (en abonnées) en %,Part de marché mobile (%),Togocom,%,2015,54.03
Téléphonie,Part de marché Togo Cellulaire (en abonnées) en %,Part de marché mobile (%),Togocom,%,2016,53.98
Téléphonie,Part de marché Togo Cellulaire (en abonnées) en %,Part de marché mobile (%),Togocom,%,2017,51.52
Téléphonie,Part de marché Togo Cellulaire (en abonnées) en %,Part de marché mobile (%),Togocom,%,2018,44.59
Téléphonie,Part de marché Togo Cellulaire (en abonnées) en %,Part de marché mobile (%),Togocom,%,2019,51.44
Téléphonie,Part de marché Atlantique Telecom Togo (en abonnées),Part de marché mobile (%),Moov Africa,%,2013,45.43
Téléphonie,Part de marché Atlantique Telecom Togo (en abonnées),Part de marché mobile (%),Moov Africa,%,2014,45.52
Téléphonie,Part de marché Atlantique Telecom Togo (en abonnées),Part de marché mobile (%),Moov Africa,%,2015,45.97
Téléphonie,Part de marché Atlantique Telecom Togo (en abonnées),Part de marché mobile (%),Moov Africa,%,2016,46.02
Téléphonie,Part de marché Atlantique Telecom Togo (en abonnées),Part de marché mobile (%),Moov Africa,%,2017,48.48
Téléphonie,Part de marché Atlantique Telecom Togo (en abonnées),Part de marché mobile (%),Moov Africa,%,2018,55.41
Téléphonie,Part de marché Atlantique Telecom Togo (en abonnées),Part de marché mobile (%),Moov Africa,%,2019,48.56
